source,brand_query,source_url,product_url,product_id,asin,sku,product_name,brand,category_raw,subcategory_raw,product_type_raw,tags_raw,price_raw,mrp_raw,discount_raw,pack_size_raw,rating_raw,review_count_raw,availability_raw,seller_raw,description_raw,scraped_at,raw_source_reference,rejection_reason,raw_page_reference,review_source
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B08S41T1HB,B08S41T1HB,B08S41T1HB,,Odonil,Odonil,,,,[],,,,,5.0,5,In Stock,,,2026-09-23T18:57:05.992658+00:00,search_q1_p2_20260923T184631Z.html,invalid_or_zero_price,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0CWPG64HM,B0CWPG64HM,B0CWPG64HM,,Odonil,Odonil,,,,[],597,11940,,,4.3,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B00ZNDKWX4,B00ZNDKWX4,B00ZNDKWX4,,Odonil,Odonil,,,,[],59,118,,,4.1,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B01469AG9A,B01469AG9A,B01469AG9A,,Odonil,Odonil,,,,[],59,118,,,4.0,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0BPCNLG5P,B0BPCNLG5P,B0BPCNLG5P,,Odonil,Odonil,,,,[],51,510,,,4.0,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B01JIGTIUO,B01JIGTIUO,B01JIGTIUO,,Odonil,Odonil,,,,[],267,118.67,,,3.8,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B077XWPYBX,B077XWPYBX,B077XWPYBX,,Odonil,Odonil,,,,[],329,548.33,,,4.2,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B07H31SGZ7,B07H31SGZ7,B07H31SGZ7,,Odonil,Odonil,,,,[],348,580,,,4.2,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B00TGNSJ6Y,B00TGNSJ6Y,B00TGNSJ6Y,,Odonil,Odonil,,,,[],90,120,,,4.2,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B012BZVWZI,B012BZVWZI,B012BZVWZI,,Odonil,Odonil,,,,[],59,59,,,4.2,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0H2H4866W,B0H2H4866W,B0H2H4866W,,Odonil,Odonil,,,,['Limited time deal'],89,8900,,,3.4,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B01M0THA9M,B01M0THA9M,B01M0THA9M,,Odonil,Odonil,,,,[],87,116,,,3.8,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B01BSQ9I48,B01BSQ9I48,B01BSQ9I48,,Odonil,Odonil,,,,[],118,118,,,3.8,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B012U5EJEK,B012U5EJEK,B012U5EJEK,,Odonil,Odonil,,,,[],59,69,,,1.0,1,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0CWPGK27T,B0CWPGK27T,B0CWPGK27T,,Odonil,Odonil,,,,[],649,10816.67,,,4.2,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B07BBKMSTD,B07BBKMSTD,B07BBKMSTD,,"Spencer's Combo - Odonil Nature Zipper Air Freshener Soulful Jasmine, 10g (Pack of 2) Promo Pack",Odonil,,,,[],120,60,,,4.1,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0753NL7TW,B0753NL7TW,B0753NL7TW,,Odonil,Odonil,,,,[],69,690,,,3.4,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0753LP7RL,B0753LP7RL,B0753LP7RL,,Odonil,Odonil,,,,[],65,65,,,3.1,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B07PZCV67B,B07PZCV67B,B07PZCV67B,,Odonil,Odonil,,,,[],70,70,,,3.8,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B00YREI1TM,B00YREI1TM,B00YREI1TM,,Odonil,Odonil,,,,[],59,,,,4.1,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0785F7Q62,B0785F7Q62,B0785F7Q62,,Odonil,Odonil,,,,[],345,57.50,,,4.0,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B01IFK4ISG,B01IFK4ISG,B01IFK4ISG,,Odonil,Odonil,,,,[],60,120,,,,,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0BH354RTX,B0BH354RTX,B0BH354RTX,,"Odonil Room Air Freshener Spray,Jasmine Fresh,Room Freshener Spray-220ml",Odonil,,,,[],135,61.36,,,4.7,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0H2H4MKM2,B0H2H4MKM2,B0H2H4MKM2,,Odonil,Odonil,,,,['Limited time deal'],89,8900,,,4.5,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0B855HZ7Y,B0B855HZ7Y,B0B855HZ7Y,,ODONIL AIR FRESHENER,Odonil,,,,[],,,,,,,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,invalid_or_zero_price,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0753NKB9G,B0753NKB9G,B0753NKB9G,,Odonil,Odonil,,,,[],60,600,,,3.4,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0CWPD8PF7,B0CWPD8PF7,B0CWPD8PF7,,Odonil,Odonil,,,,[],677,11283.33,,,4.5,4,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0144P0BJ6,B0144P0BJ6,B0144P0BJ6,,Odonil,Odonil,,,,[],,,,,3.9,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,invalid_or_zero_price,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0CWPGR6W1,B0CWPGR6W1,B0CWPGR6W1,,Odonil,Odonil,,,,[],489,12225,,,5.0,5,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B01JIGTNL8,B01JIGTNL8,B01JIGTNL8,,Odonil,Odonil,,,,[],288,128,,,3.6,3,In Stock,,,2026-09-23T18:57:06.498843+00:00,search_q1_p2_20260923T184815Z.html,duplicate_canonical_product,,
